MPL-2026 - Auction Results - 06-12-2025 16:20:10,,
Team,Player Name,Points
ACES,#N/A,
ACES,#N/A,
ACES,#N/A,
ACES,#N/A,
ACES,#N/A,
ACES,#N/A,
ACES,#N/A,
BHIMRAJKA WARRIORS,#N/A,
BHIMRAJKA WARRIORS,#N/A,
BHIMRAJKA WARRIORS,#N/A,
BHIMRAJKA WARRIORS,#N/A,
BHIMRAJKA WARRIORS,#N/A,
BHIMRAJKA WARRIORS,#N/A,
BHIMRAJKA WARRIORS,#N/A,
FOOD CRAFT,#N/A,
FOOD CRAFT,#N/A,
FOOD CRAFT,#N/A,
FOOD CRAFT,#N/A,
FOOD CRAFT,Yash Murarka,1500
FOOD CRAFT,#N/A,
FOOD CRAFT,#N/A,
M&D ROYALS,#N/A,
M&D ROYALS,#N/A,
M&D ROYALS,#N/A,
M&D ROYALS,#N/A,
M&D ROYALS,#N/A,
M&D ROYALS,#N/A,
M&D ROYALS,#N/A,
MASKARA LIONS,#N/A,
MASKARA LIONS,#N/A,
MASKARA LIONS,#N/A,
MASKARA LIONS,#N/A,
MASKARA LIONS,#N/A,
MASKARA LIONS,#N/A,
MASKARA LIONS,#N/A,
ORIENT TIGERS,#N/A,
ORIENT TIGERS,#N/A,
ORIENT TIGERS,#N/A,
ORIENT TIGERS,#N/A,
ORIENT TIGERS,#N/A,
ORIENT TIGERS,#N/A,
ORIENT TIGERS,#N/A,
OSAKA PANTHERS,#N/A,
OSAKA PANTHERS,#N/A,
OSAKA PANTHERS,#N/A,
OSAKA PANTHERS,#N/A,
OSAKA PANTHERS,Harshwardhan Jain,1500
OSAKA PANTHERS,#N/A,
OSAKA PANTHERS,#N/A,
PARAKH KNIGHTS,Darsh Parakh,6000
PARAKH KNIGHTS,#N/A,
PARAKH KNIGHTS,#N/A,
PARAKH KNIGHTS,#N/A,
PARAKH KNIGHTS,#N/A,
PARAKH KNIGHTS,#N/A,
PARAKH KNIGHTS,#N/A,
RIDERS,#N/A,
RIDERS,#N/A,
RIDERS,#N/A,
RIDERS,#N/A,
RIDERS,#N/A,
RIDERS,#N/A,
RIDERS,#N/A,
RISING MUNDHRAS,#N/A,
RISING MUNDHRAS,Shiv Mundhra,3000
RISING MUNDHRAS,#N/A,
RISING MUNDHRAS,#N/A,
RISING MUNDHRAS,#N/A,
RISING MUNDHRAS,#N/A,
RISING MUNDHRAS,#N/A,
SARDA AVENGERS,#N/A,
SARDA AVENGERS,Veer Sarda,3000
SARDA AVENGERS,#N/A,
SARDA AVENGERS,#N/A,
SARDA AVENGERS,#N/A,
SARDA AVENGERS,#N/A,
SARDA AVENGERS,#N/A,
SK STRIKERS,#N/A,
SK STRIKERS,#N/A,
SK STRIKERS,#N/A,
SK STRIKERS,#N/A,
SK STRIKERS,#N/A,
SK STRIKERS,#N/A,
SK STRIKERS,#N/A,
SOMANI SUPER KINGS,Mihir Somani,6000
SOMANI SUPER KINGS,#N/A,
SOMANI SUPER KINGS,#N/A,
SOMANI SUPER KINGS,#N/A,
SOMANI SUPER KINGS,#N/A,
SOMANI SUPER KINGS,#N/A,
SOMANI SUPER KINGS,#N/A,
YODDHAS,#N/A,
YODDHAS,#N/A,
YODDHAS,#N/A,
YODDHAS,#N/A,
YODDHAS,Vikas jakhotia,1500
YODDHAS,#N/A,
YODDHAS,#N/A,
